Image Name,Layout Area,Number of Edges,Width,Height
p_0088.jpg,99226.5,346,451.0,336.0
p_0448.jpg,126187.5,250,450.28435460273323,336.1800113034682
p_0937.jpg,76018.0,674,451.0,336.0
p_0420.jpg,131235.0,291,450.0,335.0
p_0590.jpg,148841.5,40,335.0,450.0
p_0661.jpg,99265.0,471,336.0372003216311,451.0543204537564
p_0443.jpg,106567.0,182,451.0,336.0
p_0775.jpg,139617.0,30,451.0,336.0
p_0090.jpg,135554.5,149,451.0,336.0
p_1089.jpg,102097.5,132,451.0,336.0
p_0123.jpg,149370.5,28,451.0,336.0
p_0368.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0948.jpg,129431.0,275,451.32028538500236,330.21810973960834
p_0453.jpg,147259.5,98,452.07079091664394,334.0538878684096
p_0793.jpg,145917.5,102,332.03764846776033,455.03955871989854
p_0879.jpg,144512.0,94,451.0,336.0
p_1096.jpg,132742.5,43,451.0,336.0
p_0383.jpg,98008.0,339,336.05356715857073,450.0711054933431
p_0676.jpg,148022.5,45,451.0,336.0
p_0490.jpg,107407.0,502,454.47222137332,321.27869521647403
p_0067.jpg,147259.5,98,452.07079091664394,334.0538878684096
p_0356.jpg,129431.0,275,451.32028538500236,330.21810973960834
p_0544.jpg,129431.0,275,451.32028538500236,330.21810973960834
p_0422.jpg,129431.0,275,451.32028538500236,330.21810973960834
p_1177.jpg,119388.5,591,444.6268098079557,337.24916604789405
p_0804.jpg,76018.0,674,451.0,336.0
p_0577.jpg,100217.5,404,461.39137399825756,318.2656123428983
p_0945.jpg,123989.5,245,436.1031987958813,322.7506777684595
p_0099.jpg,84144.5,495,375.7406020115473,383.98567681620625
p_0605.jpg,135802.5,232,451.0,336.0
p_0780.jpg,106567.0,182,451.0,336.0
p_1080.jpg,141083.5,186,335.0,450.0
p_0436.jpg,144512.0,94,451.0,336.0
p_0189.jpg,99811.0,405,458.57714727186305,328.3900120283807
p_0188.jpg,115285.5,336,419.98690455774926,338.49224511057855
p_0303.jpg,91207.0,347,387.4751604941922,341.8786334359022
p_0374.jpg,122868.0,59,451.0,336.0
p_0694.jpg,102097.5,132,451.0,336.0
p_0550.jpg,131235.0,291,450.0,335.0
p_0938.jpg,108024.0,482,451.0277153346566,334.0239512370333
p_0874.jpg,139004.5,147,453.1589125240725,332.12196554880256
p_0637.jpg,99811.0,405,458.57714727186305,328.3900120283807
p_0689.jpg,134892.0,163,451.0,336.0
p_1030.jpg,141083.5,186,335.0,450.0
p_0316.jpg,143201.0,86,451.0,336.0
p_0252.jpg,146672.0,54,451.03990954238185,332.03764846776033
p_0645.jpg,144512.0,94,451.0,336.0
p_1105.jpg,148841.5,40,335.0,450.0
p_0494.jpg,111428.0,563,322.158346159152,453.3982796614914
p_0184.jpg,99811.0,405,458.57714727186305,328.3900120283807
p_1087.jpg,145633.0,62,456.13265614292516,326.0981447355995
p_0902.jpg,139355.0,199,451.0,336.0
p_0493.jpg,121011.5,310,488.9468273749202,290.36700914532287
p_0362.jpg,128852.0,351,450.32099662351965,330.25596133908016
p_0213.jpg,126625.5,362,451.0,336.0
p_0758.jpg,135554.5,149,451.0,336.0
p_0451.jpg,145633.0,62,456.13265614292516,326.0981447355995
p_1015.jpg,110426.5,394,330.0969554539999,449.11134476875554
p_0271.jpg,133772.0,58,449.01781701843413,336.0133925902359
p_0822.jpg,148841.5,40,335.0,450.0
p_0904.jpg,141083.5,186,335.0,450.0
p_0017.jpg,108024.0,482,451.0277153346566,334.0239512370333
p_1158.jpg,76108.5,675,451.0,336.0
p_0813.jpg,131032.5,348,337.53518335130633,440.70965498840616
p_0158.jpg,131032.5,348,337.53518335130633,440.70965498840616
p_1081.jpg,145633.0,62,456.13265614292516,326.0981447355995
p_0524.jpg,133543.0,167,450.0,335.0
p_0134.jpg,106600.0,240,449.7554891271478,321.62400407929755
p_0205.jpg,112561.0,356,327.9908535310093,437.6494030614003
p_0740.jpg,151500.0,6,451.0,336.0
p_0120.jpg,99265.0,471,336.0372003216311,451.0543204537564
p_0520.jpg,76211.0,386,408.06126990931153,354.4925951271761
p_0522.jpg,133105.0,231,450.111097397076,329.07445965920846
p_0663.jpg,128852.0,351,450.32099662351965,330.25596133908016
p_0708.jpg,122655.0,95,451.0,336.0
p_0454.jpg,147362.0,52,451.0,336.0
p_0085.jpg,151331.5,10,451.0,336.0
p_0348.jpg,102930.5,532,306.96742498187,445.24599942054505
p_0819.jpg,146752.0,85,333.0375354220602,447.0548064835004
p_1044.jpg,135722.0,226,451.0,336.0
p_1157.jpg,124422.0,429,453.1313275420273,318.8306760648981
p_0851.jpg,136593.5,216,451.0,336.0
p_0428.jpg,98008.0,339,336.05356715857073,450.0711054933431
p_0611.jpg,147259.5,98,452.07079091664394,334.0538878684096
p_0174.jpg,150254.0,48,451.0,336.0
p_0143.jpg,131032.5,348,337.53518335130633,440.70965498840616
p_1170.jpg,88820.0,375,454.12883634492977,316.76489704511135
p_0318.jpg,92965.0,481,337.50259258263486,415.88580163309257
p_0256.jpg,132640.5,270,451.0,336.0
p_0041.jpg,108102.0,221,449.25939055294106,324.68138228115265
p_0621.jpg,140448.0,136,449.01781701843413,336.0133925902359
p_0646.jpg,101404.0,389,451.0,336.0
p_0639.jpg,114587.0,387,451.0,336.0
p_0471.jpg,144208.0,84,449.040087297337,331.03776219639957
p_1155.jpg,81117.5,78,451.0,336.0
p_0083.jpg,128300.0,208,337.013352851189,449.02783878062615
p_0064.jpg,114609.5,447,482.18772278024665,304.9622927510875
p_1047.jpg,88820.0,375,454.12883634492977,316.76489704511135
p_0666.jpg,74680.5,66,350.30415355801875,402.85605369660266
p_0416.jpg,98625.0,449,451.0,336.0
p_0565.jpg,149851.5,18,451.0,336.0
p_0975.jpg,119388.5,591,444.6268098079557,337.24916604789405
p_0609.jpg,122655.0,95,451.0,336.0
p_0206.jpg,110320.0,480,451.0,336.0
p_0028.jpg,133105.0,231,450.111097397076,329.07445965920846
p_0447.jpg,145638.0,115,451.0,336.0
p_0519.jpg,119388.5,591,444.6268098079557,337.24916604789405
p_0457.jpg,136364.5,218,337.013352851189,449.01781701843413
p_1016.jpg,96884.0,453,336.0372003216311,451.0543204537564
p_0137.jpg,106887.5,517,454.2598375379448,321.27869521647403
p_0177.jpg,121011.5,310,488.9468273749202,290.36700914532287
p_0124.jpg,128852.0,351,450.32099662351965,330.25596133908016
p_0021.jpg,108416.0,678,325.7299494980466,453.8116349323803
p_1149.jpg,147685.0,47,451.03990954238185,333.0375354220602
p_0042.jpg,101625.5,614,405.664886328605,362.008287197959
p_0949.jpg,76108.5,675,451.0,336.0
p_0025.jpg,102930.5,532,306.96742498187,445.24599942054505
p_0246.jpg,119007.0,426,336.5947117825828,446.8165171521751
p_0499.jpg,140539.0,111,451.0,336.0
p_0474.jpg,149370.5,28,451.0,336.0
p_0270.jpg,106887.5,517,454.2598375379448,321.27869521647403
p_0818.jpg,81117.5,78,451.0,336.0
p_0102.jpg,126625.5,362,451.0,336.0
p_0598.jpg,121011.5,310,488.9468273749202,290.36700914532287
p_0776.jpg,144115.5,74,329.05470669783773,454.0539615508271
p_0763.jpg,130462.5,270,443.1907038736259,337.1483353065828
p_0431.jpg,128058.0,298,450.00444442249676,336.00595232822883
p_0576.jpg,105393.0,582,285.07016680108774,477.74574828040073
p_0290.jpg,111428.0,563,322.158346159152,453.3982796614914
p_0751.jpg,76108.5,675,451.0,336.0
p_0070.jpg,107211.0,231,448.68363018946883,323.012383663537
p_0849.jpg,149614.5,26,451.00443456799843,335.00597009605667
p_0815.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0052.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0087.jpg,71400.0,718,324.4102341172362,441.13149966874954
p_0211.jpg,134714.0,164,451.0,336.0
p_0900.jpg,105393.0,582,285.07016680108774,477.74574828040073
p_0265.jpg,145917.5,102,332.03764846776033,455.03955871989854
p_0492.jpg,111666.0,408,450.32099662351965,333.2161460673837
p_0495.jpg,122566.5,365,463.24939287601876,321.895945920417
p_0347.jpg,145504.0,67,451.0,336.0
p_0155.jpg,145917.5,102,332.03764846776033,455.03955871989854
p_0417.jpg,98625.0,449,451.0,336.0
p_0876.jpg,147685.0,47,451.03990954238185,333.0375354220602
p_0278.jpg,135700.5,229,451.0,336.0
p_0217.jpg,119388.5,591,444.6268098079557,337.24916604789405
p_0262.jpg,120434.0,333,448.02790091689604,337.0237380363585
p_0294.jpg,122868.0,59,451.0,336.0
p_0825.jpg,122655.0,95,451.0,336.0
p_0767.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0240.jpg,108416.0,678,325.7299494980466,453.8116349323803
p_0737.jpg,151357.5,16,451.0,336.0
p_0027.jpg,76018.0,674,451.0,336.0
p_1140.jpg,126187.5,250,450.28435460273323,336.1800113034682
p_1168.jpg,110320.0,480,451.0,336.0
p_0766.jpg,102930.5,532,306.96742498187,445.24599942054505
p_1057.jpg,108102.0,221,449.25939055294106,324.68138228115265
p_0084.jpg,91207.0,347,387.4751604941922,341.8786334359022
p_0299.jpg,110320.0,480,451.0,336.0
p_1178.jpg,100120.0,403,306.0228749619871,477.59501672442104
p_0896.jpg,104513.5,387,308.93364983439403,473.44799080786055
p_0816.jpg,97513.5,349,471.49655353989596,317.29008808974794
p_1146.jpg,127395.0,233,438.6570414344217,332.54323027239633
p_0720.jpg,103931.0,440,451.0,336.0
p_0744.jpg,110320.0,480,451.0,336.0
p_1043.jpg,142628.5,122,451.0,336.0
p_0848.jpg,147685.0,47,451.03990954238185,333.0375354220602
p_0749.jpg,149851.5,18,451.0,336.0
p_0678.jpg,121011.5,310,488.9468273749202,290.36700914532287
p_0995.jpg,149315.5,29,452.0099556425721,334.0134727821619
p_0195.jpg,91207.0,347,387.4751604941922,341.8786334359022
p_0190.jpg,108024.0,482,451.0277153346566,334.0239512370333
p_0623.jpg,103931.0,440,451.0,336.0
p_0592.jpg,136593.5,216,451.0,336.0
p_0359.jpg,91207.0,347,387.4751604941922,341.8786334359022
p_0595.jpg,84144.5,495,375.7406020115473,383.98567681620625
p_0647.jpg,128852.0,351,450.32099662351965,330.25596133908016
p_1068.jpg,112031.5,555,324.4225639501667,455.80368581221455
p_1100.jpg,135802.5,232,451.0,336.0
p_1159.jpg,110320.0,480,451.0,336.0
p_0865.jpg,144512.0,94,451.0,336.0
p_0617.jpg,122655.0,95,451.0,336.0
p_0563.jpg,126625.5,362,451.0,336.0
p_0308.jpg,107407.0,502,454.47222137332,321.27869521647403
p_0366.jpg,107407.0,502,454.47222137332,321.27869521647403
p_0614.jpg,123479.5,318,451.0,336.0
p_0958.jpg,135802.5,232,451.0,336.0
p_0095.jpg,149370.5,28,451.0,336.0
p_1082.jpg,76018.0,674,451.0,336.0
p_0980.jpg,84144.5,495,375.7406020115473,383.98567681620625
p_0219.jpg,114609.5,447,482.18772278024665,304.9622927510875
p_0381.jpg,149315.5,29,452.0099556425721,334.0134727821619
p_0281.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0560.jpg,129431.0,275,451.32028538500236,330.21810973960834
p_0963.jpg,148379.0,38,452.0398212547209,331.03776219639957
p_0893.jpg,126625.5,362,451.0,336.0
p_0784.jpg,148022.5,45,451.0,336.0
p_0317.jpg,110320.0,480,451.0,336.0
p_0610.jpg,145262.0,63,455.0890022841686,328.0746866187637
p_0483.jpg,128058.0,298,450.00444442249676,336.00595232822883
p_1028.jpg,148841.5,40,335.0,450.0
p_0238.jpg,98504.0,448,335.2924096963723,451.4000443065995
p_0891.jpg,128058.0,298,450.00444442249676,336.00595232822883
p_1097.jpg,108024.0,482,451.0277153346566,334.0239512370333
p_0191.jpg,123479.5,318,451.0,336.0
p_0942.jpg,88820.0,375,454.12883634492977,316.76489704511135
p_0845.jpg,131235.0,291,450.0,335.0
p_0253.jpg,81625.5,336,465.46858110940207,302.9488405655318
p_1179.jpg,114609.5,447,482.18772278024665,304.9622927510875
p_0795.jpg,103931.0,440,451.0,336.0
p_0201.jpg,135700.5,229,451.0,336.0
p_0966.jpg,147003.0,52,451.01773801038024,333.0135132393279
p_0638.jpg,98625.0,449,451.0,336.0
p_1059.jpg,136364.5,218,337.013352851189,449.01781701843413
p_1000.jpg,139355.0,199,451.0,336.0
p_0531.jpg,133772.0,58,449.01781701843413,336.0133925902359
p_0837.jpg,133543.0,167,450.0,335.0
p_0571.jpg,129953.0,332,451.0,336.0
p_0245.jpg,102930.5,532,306.96742498187,445.24599942054505
p_0163.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0033.jpg,144062.0,76,457.2461044120551,322.18783341398847
p_0119.jpg,146655.0,51,450.0177774266257,333.0135132393279
p_0719.jpg,135554.5,149,451.0,336.0
p_1053.jpg,150755.5,14,451.0,336.0
p_0826.jpg,142049.0,151,455.2812317677943,329.21877224727024
p_0704.jpg,149094.0,32,451.01773801038024,333.00600595184466
p_0014.jpg,136364.5,218,337.013352851189,449.01781701843413
p_0723.jpg,108123.5,520,435.6432026326131,331.6157414840255
p_0502.jpg,131032.5,348,337.53518335130633,440.70965498840616
p_0456.jpg,151331.5,10,451.0,336.0
p_1004.jpg,76018.0,674,451.0,336.0
p_0840.jpg,144062.0,76,457.2461044120551,322.18783341398847
p_0952.jpg,105105.0,337,335.0373113550191,450.05444115129006
p_1037.jpg,111428.0,563,322.158346159152,453.3982796614914
p_0122.jpg,98008.0,339,336.05356715857073,450.0711054933431
p_0402.jpg,133772.0,58,449.01781701843413,336.0133925902359
p_0882.jpg,110320.0,480,451.0,336.0
p_0307.jpg,127395.0,233,438.6570414344217,332.54323027239633
p_0361.jpg,149200.0,28,451.0,336.0
p_0673.jpg,98008.0,339,336.05356715857073,450.0711054933431
p_0500.jpg,96381.5,632,492.0833262771662,299.81661061388843
p_0872.jpg,108024.0,482,451.0277153346566,334.0239512370333
p_1127.jpg,106887.5,517,454.2598375379448,321.27869521647403
p_0946.jpg,123479.5,318,451.0,336.0
p_0883.jpg,91207.0,347,387.4751604941922,341.8786334359022
p_0330.jpg,131032.5,348,337.53518335130633,440.70965498840616
p_0547.jpg,106567.0,182,451.0,336.0
p_1102.jpg,121011.5,310,488.9468273749202,290.36700914532287
p_0871.jpg,140448.0,136,449.01781701843413,336.0133925902359
p_0572.jpg,91207.0,347,387.4751604941922,341.8786334359022
p_1074.jpg,112561.0,356,327.9908535310093,437.6494030614003
